Número de expediente,fecha_publicacion,anio_publicacion,mes_publicacion,ambito_geografico,comunidad_autonoma,Tipo de contrato,Tipo de Administración,tipo_organo,Tipo de procedimiento,procedimiento_agrupado,Tramitación,presupuesto_expediente,Presupuesto base sin impuestos oportunidad,Valor estimado del contrato,tramo_presupuesto,duracion_meses,tramo_duracion,tiene_lotes,numero_lotes_dashboard,Resultado licitación/lote,resultado_agrupado,ganador_grupo,gano_gee,decision_licitacion,objeto_normalizado
2020008646 (PA 026/2019/3003),2019-04-01,2019.0,4.0,es41,Castilla y León,Servicios,Autoridad regional,Gerencia Sanitaria,Abierto,Abierto,Ordinaria,27912.0,27912.0,119896.35,25.000 – 50.000 €,24.0,24 – 36 meses,True,4,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO DE DOS CAMARAS DE OXIDO DE ETILENO Y UN CATALIZADOR
3001/19,2019-04-01,2019.0,4.0,es30,Comunidad de Madrid,Servicios,Autoridad estatal,Investigación,Abierto simplificado,Abierto simplificado,Ordinaria,39669.42,39669.42,39669.42,25.000 – 50.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,,SERVICIO DE MANTENIMIENTO DE LOS EQUIPOS MARCA AGILENT DE LOS CENTROS NACIONALES DEL INSST EN MADRID CNNT BARCELONA CNCT SEVILLA CNMP Y VIZCAYA CNVM
3002/19,2019-04-01,2019.0,4.0,es30,Comunidad de Madrid,Servicios,Autoridad estatal,Investigación,Abierto simplificado,Abierto simplificado,Ordinaria,44628.1,44628.1,44628.1,25.000 – 50.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,,MANTENIMIENTO DE LOS EQUIPOS TECNICOS PERKINELMER DE LOS CENTROS NACIONALES DEL INSST EN MADRID CNNT BARCELONA CNCT Y BIZKAIA CNVM
3009/19,2019-04-01,2019.0,4.0,es30,Comunidad de Madrid,Servicios,Autoridad estatal,Investigación,Abierto simplificado,Abierto simplificado,Ordinaria,44000.0,44000.0,88000.0,25.000 – 50.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE GESTION METROLOGICA CNMP SEVILLA
51/E/19/SS/GE/N/0076,2019-04-01,2019.0,4.0,es70,Canarias,Servicios,Autoridad regional,Hospital,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,377896.02,377896.02,668838.52,250.000 – 500.000 €,36.0,36 – 60 meses,False,0,Adjudicado,Adjudicado,phillips,False,No licita,SERVICIO DE MANTENIMIENTO DIVERSO EQUIPAMIENTO DE LA MARCA PHILIPS
53/M/19/SS/GE/N/0026,2019-04-01,2019.0,4.0,es70,Canarias,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,48400.0,48400.0,96800.0,25.000 – 50.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,ge_healthcare,False,No licita,SERVICIO DE MANTENIMIENTO INTEGRAL CORRECTIVO Y PREVENTIVO AMBOS CON MATERIALES SIN EXCLUSIONES DE UNA SALA DE RADIOLOGIA CONVENCIONAL DIGITAL MODELO DISCOVERY XR 650 SUMINISTRADO POR GENERAL ELECTRIC HEALTHCARE PROPIEDAD DE LA GERENCIA DE SERVICIOS SANITARIOS DEL AREA DE SALUD DE FUERTEVENTURA
54/S/19/SS/GE/N/005,2019-04-01,2019.0,4.0,es70,Canarias,Servicios,Autoridad regional,Hospital,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,80000.0,80000.0,192000.0,50.000 – 100.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE MANTENIMIENTO INTEGRAL DE DOS MAMOGRAFOS MARCA HOLOGIC MODELO SELENIA INSTALADOS EN EL SERVICIO DE RADIODIAGNOSTICO DEL CENTRO DE ATENCION ESPECIALIZADA EL CALERO ADSCRITO AL COMPLEJO HOSPITALARIO UNIVERSITARIO INSULAR MATERNO INFANTIL DE GRAN CANARIA
57/E/19/SS/GE/A/008,2019-04-01,2019.0,4.0,es70,Canarias,Servicios,Autoridad regional,Gerencia Sanitaria,Abierto simplificado,Abierto simplificado,Ordinaria,12774.13,12774.13,12774.13,10.000 – 25.000 €,12.0,12 – 24 meses,False,0,Desierto,Desierto,Otros,False,No licita,SERVICIO DE MANTENIMIENTO DEL SISTEMA PYXIS DISPENSACION AUTOMATICA DE MEDICAMENTOS INSTALADO EN EL HOSPITAL NUESTRA SENORA DE GUADALUPE DE LA GOMERA DEPENDIENTE DE LA GERENCIA DE SERVICIOS SANITARIOS DEL AREA DE SALUD DE LA GOMERA MEDIANTE PROCEDIMIENTO DE ADJUDICACION ABIERTO SIMPLIFICADO SUMARIO Y TRAMITACION ORDINARIA
57/E/19/SS/GE/N/0002,2019-04-01,2019.0,4.0,es70,Canarias,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,104000.0,104000.0,118130.0,100.000 – 250.000 €,24.0,24 – 36 meses,True,2,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO INTEGRAL DEL TAC TOSHIBA AQUILION S16
57/E/19/SS/GE/N/001,2019-04-01,2019.0,4.0,es70,Canarias,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,17182.0,17182.0,34364.0,10.000 – 25.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,phillips,False,No licita,SERVICIO DE MANTENIMIENTO DEL SISTEMA RADIOGRAFICO TELEMANDO DUO DIAGNOST MARCA PHILIPS PARA EL HOSPITAL NUESTRA SENORA DE GUADALUPE DEPENDIENTE DE LA GERENCIA DE SERVICIOS SANITARIOS DEL AREA DE SALUD DE LA GOMERA
