Número de expediente,fecha_publicacion,anio_publicacion,mes_publicacion,ambito_geografico,comunidad_autonoma,Tipo de contrato,Tipo de Administración,tipo_organo,Tipo de procedimiento,procedimiento_agrupado,Tramitación,presupuesto_expediente,Presupuesto base sin impuestos oportunidad,Valor estimado del contrato,tramo_presupuesto,duracion_meses,tramo_duracion,tiene_lotes,numero_lotes_dashboard,Resultado licitación/lote,resultado_agrupado,ganador_grupo,gano_gee,decision_licitacion,objeto_normalizado
SER-14-284-ORG,2015-03-01,2015.0,3.0,Nacional,Nacional,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Normas internas,Normas internas,Ordinaria,45696.37,45696.37,,25.000 – 50.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,grupo_gee,True,Licita,CONTRATACION DEL SERVICIO DE VERIFICACION DEL EQUIPAMIENTO SANITARIO ELECTROMEDICO DE LOS CENTROS ASISTENCIALES DE UMIVALE
RNSE-428,2015-05-01,2015.0,5.0,Nacional,Nacional,Servicios,Autoridad estatal,Administración Pública,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,22080.0,22080.0,48576.0,10.000 – 25.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO DE UN MICROSCOPIO ELECTRONICO MARCA CARL ZEISS UBICADO EN EL DEPARTAMENTO DE MADRID DEL INSTITUTO NACIONAL DE TOXICOLOGIA Y CIENCIAS FORENSES
NSE/2014/060,2015-07-01,2015.0,7.0,Nacional,Nacional,Servicios,Autoridad estatal,Administración Pública,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,76407.42,76407.42,,50.000 – 100.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO INTEGRAL DE LOS EQUIPOS DE OBTENCION DE AGUA DESTILADA MARCA MILLIPORE UBICADOS EN LOS DEPARTAMENTOS DEL INSTITUTO NACIONAL DE TOXICOLOGIA Y CIENCIAS FORENSES
SER-15-350-ORG,2015-10-01,2015.0,10.0,Nacional,Nacional,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Normas internas,Normas internas,Ordinaria,54551.6,54551.6,81827.4,50.000 – 100.000 €,48.0,36 – 60 meses,False,0,Adjudicado,Adjudicado,Otros,False,,CONTRATACION DEL SERVICIO DE DOSIMETRIA PERSONAL PARA PROFESIONALES SANITARIOS QUE TRABAJEN EN LAS INSTALACIONES DE RX Y SERVICIOS DE ASESORIA Y FORMACION EN GESTION DOSIMETRICA
2015/C1/ASC/026,2016-01-01,2016.0,1.0,Nacional,Nacional,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,206640.04,206640.04,847244.16,100.000 – 250.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE MANTENIMINETO INTEGRAL Y O PREVENTIVO D ELAS INSTALACIONES DE RADIODIAGNOSTICO ECOGRAFOS MONITORIZACION DE UCI Y DESFIBRILADORES EN EL CENTRO DE REHABILITACION DE MAZ
2015/C1/ASC/038,2016-03-01,2016.0,3.0,Nacional,Nacional,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Abierto,Abierto,Ordinaria,220761.24,220761.24,1147958.45,100.000 – 250.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,,SERVICIO DE MANTENIMIENTO DE EQUIPOS DE RADIOLOGIA CONVENCIONAL Y PROCESADORAS PARA LOS CENTROS ASISTENCIALES DE MAZ M A T E P S S N 11
18/17,2016-12-01,2016.0,12.0,Nacional,Nacional,Servicios,Autoridad estatal,Administración Pública,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,7864.0,7864.0,18087.2,< 10.000 €,36.0,36 – 60 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE MANTENIMIENTO DE EQUIPOS DE INSPECCION DE RAYOS X INSTALADOS EN LOS CONTROLES DE ACCESO AL COMPLEJO DE LA MONCLOA Y AREAS ESPECIALES
Exp 2017-09,2017-03-01,2017.0,3.0,es52,Comunitat Valenciana,Servicios,Otras Entidades del Sector Público,Investigación,Abierto,Abierto,Ordinaria,70000.0,70000.0,147000.0,50.000 – 100.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,eiffage,False,No licita,SERVICIO DE MANTENIMIENTO DE EQUIPOS DE ELECTROMEDICINA DEL EDIFICIO FISABIO OFTALMOLOGIA MEDICA
180/2017 T.U.,2017-04-01,2017.0,4.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Gerencia Sanitaria,Abierto,Abierto,Urgente,111570.25,111570.25,167355.37,100.000 – 250.000 €,6.0,6 – 12 meses,False,0,Adjudicado,Adjudicado,agenor,False,No licita,SERVICIOS PARA EL MANTENIMIENTO INTEGRAL DE EQUIPOS DE ELECTROMEDICINA DISTRIBUIDOS EN LOS CENTROS DEPENDIENTES DEL DEPARTAMENTO DE SALUD DE ELDA
134/2017,2017-05-01,2017.0,5.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Gerencia Sanitaria,Abierto,Abierto,Urgente,900000.0,900000.0,1890000.0,500.000 – 1 M€,3.0,< 6 meses,False,0,Adjudicado,Adjudicado,Otros,False,,SERVICIOS PARA EL MANTENIMIENTO INTEGRAL DE 8 703 EQUIPOS DE ELECTROMEDICINA DISTRIBUIDOS EN LOS CENTROS DEPENDIENTES DEL DEPARTAMENTO DE SALUD VALENCIA LA FE
230/2017,2017-05-01,2017.0,5.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,52000.0,52000.0,104000.0,50.000 – 100.000 €,,,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE MANTENIMIENTO INTEGRAL DEL EQUIPO DE IMAGEN TAC DE AYUDA A LA NEUROCIRUGIA MARCA MEDTRONIC MODELO O ARM DEL DEPARTAMENTO DE SALUD DE VALENCIA CLINICO MALVARROSA
59/2017,2017-05-01,2017.0,5.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Servicio de Salud,Abierto,Abierto,Ordinaria,948322.62,948322.62,48118825.37,500.000 – 1 M€,24.0,24 – 36 meses,True,18,Adjudicado,Adjudicado,Otros,False,No licita,DEP DE GANDIA
0100DGT29679,2017-06-01,2017.0,6.0,es30,Comunidad de Madrid,Servicios,Autoridad estatal,Administración Pública,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,1480452.6,1480452.6,2960905.2,1 – 5 M€,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,drager,False,No licita,SERVICIO DE MANTENIMIENTO DE EQUIPOS DE MEDICION MARCA DRAGUER PARA LLEVAR A CABO CONTROLES DE ALCOHOLEMIA Y DROGAS
266/2017,2017-07-01,2017.0,7.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Gerencia Sanitaria,Abierto,Abierto,Ordinaria,51572.0,51572.0,103144.0,50.000 – 100.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO INTEGRAL DEL SISTEMA DE PLANIMETRIA DEL SERVICIO DE RADIOTERAPIA DEL HOSPITAL CLINICO DE VALENCIA
PA 409/2017,2017-08-01,2017.0,8.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Gerencia Sanitaria,Abierto,Abierto,Ordinaria,100800.0,100800.0,201600.0,100.000 – 250.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE GESTION INTEGRAL DE GASES MEDICINALES DEL HOSPITAL GENERAL UNIVERSITARIO DE ALICANTE DEL DEPARTAMENTO DE SALUD DE ALICANTE HOSPITAL GENERAL
2017/ES/30,2017-09-01,2017.0,9.0,es30,Comunidad de Madrid,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,6776.0,6776.0,13552.0,< 10.000 €,36.0,36 – 60 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE MANTENIMIENTO DE UN ESPECTOMETRO 3DDLS
566/2017,2017-09-01,2017.0,9.0,es30,Comunidad de Madrid,Servicios,Autoridad estatal,Sanidad Militar,Abierto,Abierto,Ordinaria,743000.82,743000.82,743000.82,500.000 – 1 M€,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,ACUERDO MARCO MANTENIMIENTO DE EQUIPAMIENTO SANITARIO E INSTALACIONES EN LA RED SANITARIO MILITAR
SSCC PA 500/16 BIS,2017-09-01,2017.0,9.0,es53,Illes Balears,Servicios,Autoridad regional,Servicio de Salud,Abierto,Abierto,Ordinaria,1093229.62,1093229.62,1639871.43,1 – 5 M€,48.0,36 – 60 meses,False,0,Adjudicado,Adjudicado,agenor,False,,MANTENIMIENTO DE EQUIPOS ELECTROMEDICOS E INSTALACIONES DEL HOSPITAL DE MANACOR
317020,2017-10-01,2017.0,10.0,es30,Comunidad de Madrid,Servicios,Autoridad estatal,Otros,Abierto,Abierto,Ordinaria,139268.5,139268.5,,100.000 – 250.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE MANTENIMIENTO DE LA PISTA DE ENSAYO DE FIRMES DEL CENTRO DE ESTUDIOS DEL TRANSPORTE DEL CEDEX
540/2017,2017-10-01,2017.0,10.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,50600.0,50600.0,101200.0,50.000 – 100.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,ge_healthcare,False,No licita,SERVICIO DE MANTENIMIENTO DE MAMOGRAFO DIGITAL SENOGRAFHE ESSENTIAL Y SU ESTACION DE TRABAJO DEL HOSPITAL DE LA PLANA
597/2017,2017-10-01,2017.0,10.0,es30,Comunidad de Madrid,Servicios,Autoridad estatal,Sanidad Militar,Abierto,Abierto,Ordinaria,82644.63,82644.63,314049.58,50.000 – 100.000 €,12.0,12 – 24 meses,True,3,Adjudicado,Adjudicado,Otros,False,No licita,EQUIPOS DE ESPECTROSCOPIA ATOMICA Y OTROS
6/2017,2017-10-01,2017.0,10.0,es63,Ceuta,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Abierto,Abierto,Ordinaria,11200.0,11200.0,103797.44,10.000 – 25.000 €,5.0,< 6 meses,True,3,Adjudicado,Adjudicado,grupo_gee,True,Licita,MANTENIMIENTO DE EQUIPOS ELECTROMEDICOS Y MECANICOS ZONA QUIRUGICA Y AMBULATORIA
P.A. 171/2017,2017-10-01,2017.0,10.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Gerencia Sanitaria,Abierto,Abierto,Ordinaria,99600.0,99600.0,199200.0,50.000 – 100.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,althea,False,,SERVICIO DE MANTENIMIENTO DEL EQUIPO CT OPTIMA 520 TAC DEL HOSPITAL DE VINAROS
2017-01614,2017-11-01,2017.0,11.0,es61,Andalucía,Servicios,Otras Entidades del Sector Público,Administración Pública,Normas internas,Normas internas,Ordinaria,10000.0,10000.0,10000.0,10.000 – 25.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,,SERVICIO DE REPARACION DE MOTORES Y BOMBAS DE LA B M DE SEVILLA
4150017159200,2017-11-01,2017.0,11.0,es30,Comunidad de Madrid,Servicios,Autoridad estatal,Sanidad Militar,Abierto,Abierto,Ordinaria,99000.0,99000.0,198000.0,50.000 – 100.000 €,2.9566360052562417,< 6 meses,False,0,Adjudicado,Adjudicado,grupo_gee,True,Licita,B MANTENIMIENTO INTEGRAL DE LOS EQUIPOS ELECTRO MEDICINA DE LAS UNIDADES SANITARIAS DEL E A PARA PRINCIPIOS DE 2018 DISAN
4150017159700,2017-11-01,2017.0,11.0,es30,Comunidad de Madrid,Servicios,Autoridad estatal,Sanidad Militar,Abierto,Abierto,Ordinaria,95000.0,95000.0,190000.0,50.000 – 100.000 €,2.9566360052562417,< 6 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,B MANTENIMIENTO INTEGRAL DE EQUIPOS DE APOYO PARA INICIOS DE 2018 DISAN
PA 541/2017,2017-11-01,2017.0,11.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Gerencia Sanitaria,Abierto,Abierto,Ordinaria,92208.0,92208.0,184416.0,50.000 – 100.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE MANTENIMIENTO INTEGRAL DE EQUIPOS DE DIGITALIZACION CR DE LA MARCA FUJIFILM INSTALADOS EN DIVERSOS SERVICIOS DEL HOSPITAL GENERAL DE ALICANTE DEPARTAMENTO DE SALUD DE ALICANTE HOSPITAL GENERAL
PN 2018/01,2017-11-01,2017.0,11.0,es12,Principado de Asturias,Servicios,Organismo de Derecho público,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,32541.09,32541.09,65082.18,25.000 – 50.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE MANTENIMIENTO DE LOS EQUIPOS DENTALES DE LA CLINICA UNIVERSITARIA DE ODONTOLOGIA DE LA UNIVERSIDAD DE OVIEDO
2017/009591,2017-12-01,2017.0,12.0,es42,Castilla-La Mancha,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,60000.0,60000.0,60000.0,50.000 – 100.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO TAC HELICOIDAL MULTICORTE 64 CORTES 61033000CU17SER00011
30/2018,2017-12-01,2017.0,12.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Servicio de Salud,Abierto,Abierto,Ordinaria,1005333.32,1005333.32,2211733.3,1 – 5 M€,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,eiffage,False,,SERVICIO INTEGRAL DE MANTENIMIENTO DE PRODUCTOS SANITARIOS OTRO EQUIPAMIENTO DE USO SANITARIO Y ACCESORIOS DEL DEPARTAMENTO DE SALUD LA RIBERA
39/2018,2017-12-01,2017.0,12.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Hospital,Abierto,Abierto,Ordinaria,94013.56,94013.56,188027.12,50.000 – 100.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,siemens,False,,SERVICIO DE MANTENIMIENTO INTEGRAL DEL TAC MARCA SIEMENS MODELO SOMATON DUO N DE SERIE 37321 DEL HOSPITAL SANT VICENT DEL RASPEIG
540/2017 hcd,2017-12-01,2017.0,12.0,es30,Comunidad de Madrid,Servicios,Autoridad estatal,Sanidad Militar,Derivado de acuerdo marco,Acuerdo marco,Ordinaria,16950.0,16950.0,,10.000 – 25.000 €,6.0,6 – 12 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO INTEGRAL DE EQUIPOS SANITARIOS DORNIER MEDTECH 6 MESES
LSV412017,2017-12-01,2017.0,12.0,Nacional,Nacional,Servicios,Otras Entidades del Sector Público,Mutua,Abierto,Abierto,Ordinaria,170634.0,170634.0,204760.8,100.000 – 250.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE MANTENIMIENTO DE LOS SISTEMAS DE IMPRESION LASER RADIOLOGIA COMPUTERITZADA Y EQUIPOS DIGITALES DE LAS INSTALACIONES DE RADIOLOGIA PARA CENTRO DE ACTIVA MUTUA
0510/2017,2018-01-01,2018.0,1.0,es30,Comunidad de Madrid,Servicios,Autoridad estatal,Sanidad Militar,Derivado de acuerdo marco,Acuerdo marco,Ordinaria,121943.8,121943.8,,100.000 – 250.000 €,3.0,< 6 meses,False,0,Adjudicado,Adjudicado,agenor,False,No licita,DERIVADO DE ACUERDO MARCO 506 2016 SERVICIO DE MANTENIMIENTO DE EQUIPOS FARMACEUTICOS CMILFARDEF
2016.2.21.04.03.03,2018-01-01,2018.0,1.0,es13,Cantabria,Servicios,Autoridad regional,Servicio de Salud,Abierto,Abierto,Ordinaria,2597368.4,2597368.4,3896052.6,1 – 5 M€,48.0,36 – 60 meses,False,0,Adjudicado,Adjudicado,grupo_gee,True,Licita,SERVICIO DE MANTENIMIENTO INTEGRAL Y SUMINISTRO POR RENOVACION TECNOLOGICA DE EQUIPOS ELECTROMEDICOS EN CENTROS DEPENDIENTES DE LA GERENCIA DE ATENCION ESPECIALIZADA AREAS II HOSPITAL COMARCAL DE LAREDO SERVICIO CANTABRO DE SALUD X000D
2017-00797,2018-01-01,2018.0,1.0,Nacional,Nacional,Servicios,Otras Entidades del Sector Público,Administración Pública,Normas internas,Normas internas,Ordinaria,0.0,0.0,0.0,< 10.000 €,18.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE CALIBRACION DE BANCOS DE PRUEBAS CIDAUT
2017-01886,2018-01-01,2018.0,1.0,Nacional,Nacional,Servicios,Organismo de Derecho público,Administración Pública,Normas internas,Normas internas,Ordinaria,23086.22,23086.22,23086.22,10.000 – 25.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,drager,False,No licita,SERVICIO DE MANTENIMIENTO DE ALCOHOLIMETROS ALCOTEST MODELOS 6510 6810 6820 7110 Y 7410 PARA E P E RENFE OPERADORA
2017/006973,2018-01-01,2018.0,1.0,es42,Castilla-La Mancha,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,129800.94,129800.94,129800.94,100.000 – 250.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,siemens,False,No licita,MANTENIMIENTO A TODO RIESGO DE EQUIPAMIENTO ECOGRAFIA ULTRASONIDOS MARCA SIEMENS 61032000CR17SER00039
2017/008851,2018-01-01,2018.0,1.0,es42,Castilla-La Mancha,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,46138.43,46138.43,46138.43,25.000 – 50.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO A TODO RIESGO DEL EQUIPAMIENTO CORRESPONDIENTE AL EQUIPO DE BRAQUITERAPIA DE ALTA TASA VARIAN DEL HOSPITAL GENERAL UNIVERSITARIO DE CIUDAD REAL 61032000CR17SER00051
2017/008876,2018-01-01,2018.0,1.0,es42,Castilla-La Mancha,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,47545.19,47545.19,47545.19,25.000 – 50.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO INTEGRAL A TODO RIESGO DEL ORTOPANTOMOGRAFO Y EQUIPO DIGITAL MULTIFUNCION INSTALADO EN EL HOSPITAL GENERAL UNIVERSITARIO DE CIUDAD REAL 61032000CR17SER00053
2017/009531,2018-01-01,2018.0,1.0,es42,Castilla-La Mancha,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,34470.0,34470.0,34470.0,25.000 – 50.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO INTEGRAL DE INSTRUMENTACION CONTROL DE CALIDAD DE RADIOTERAPIA DEL EQUIPAMIENTO DOSIMETRICO 61032000CR17SER00056
2017/009935,2018-01-01,2018.0,1.0,es42,Castilla-La Mancha,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,30000.0,30000.0,30000.0,25.000 – 50.000 €,48.0,36 – 60 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MTO INTEGRAL DEL SISTEMA DE VERIFICACION PRETRATAMIENTO MODELO ARCCHECK MARCA SUN NUCLEAR INSTALADO EN EL HGUCR 61032000CR17SER00063
2017/010387,2018-01-01,2018.0,1.0,es42,Castilla-La Mancha,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,82500.0,82500.0,82500.0,50.000 – 100.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,phillips,False,No licita,MANTENIMIENTO DOS ECOGRAFOS PHILIPS 61035100TO17SER00006
201700000213,2018-01-01,2018.0,1.0,es30,Comunidad de Madrid,Servicios,Organismo de Derecho público,Otros,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,105410.04,105410.04,210820.08,100.000 – 250.000 €,,,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO DE LOS INSTRUMENTOS ANALITICOS MARCA AGILENT Y HEWLET PACKARD DEL LABORATORIO DE CONTROL DEL DOPAJE DE LA AEPSAD
ECASE 2017/23504,2018-01-01,2018.0,1.0,es53,Illes Balears,Servicios,Autoridad regional,Servicio de Salud,Abierto,Abierto,Ordinaria,94000.0,94000.0,188000.0,50.000 – 100.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,ge_healthcare,False,No licita,SERVICIO DE MANTENIMIENTO DEL EQUIPO DE RESONANCIAS MAGNETICAS DEL HOSPITAL CAN MISSES
MPNSE 2017/21733,2018-01-01,2018.0,1.0,es53,Illes Balears,Servicios,Autoridad regional,Servicio de Salud,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,110362.91,110362.91,176580.66,100.000 – 250.000 €,48.0,36 – 60 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE MANTENIMIENTO DEL SISTEMA PREANALITICO OLA 2500 S3I SORTER ALIQUOTER DEL LABORATORIO DEL HOSPITAL MATEU ORFILA DE MAO
MPNSE 2017/22339,2018-01-01,2018.0,1.0,es53,Illes Balears,Servicios,Autoridad regional,Servicio de Salud,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,45444.56,45444.56,95433.58,25.000 – 50.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO DE UN MAMOGRAFO LORAD HOLOGIC MODELO SELENIA DEL SERVICIO DE RADIOLOGIA DEL HOSPITAL MATEU ORFILA DE MAO
PIC2018_22293,2018-01-01,2018.0,1.0,Nacional,Nacional,Servicios,Otras Entidades del Sector Público,Gerencia Sanitaria,Abierto,Abierto,Ordinaria,20000.0,20000.0,303000.0,10.000 – 25.000 €,24.0,24 – 36 meses,True,2,Desierto,Desierto,Otros,False,No licita,ALCALA DE GUADAIRA FUENGIROLA MANZANARES PORRINO TUDELA
04/18,2018-02-01,2018.0,2.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Hospital,Abierto,Abierto,Ordinaria,14800.0,14800.0,29600.0,10.000 – 25.000 €,24.0,24 – 36 meses,False,0,Desierto,Desierto,Otros,False,No licita,MANTENIMIENTO DEL EQUIPO DE DOSIMETRIA Y CONTROL DE CALIDAD DEL SERVICIO DE RADIOTERAPIA
141/2018,2018-02-01,2018.0,2.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Gerencia Sanitaria,Abierto,Abierto,Ordinaria,52000.0,52000.0,104000.0,50.000 – 100.000 €,48.0,36 – 60 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO PARA EL MANTENIMIENTO INTEGRAL DE LAS SALAS DE RAYOS DEL HOSPITAL DE LLIRIA DEL DEPARTAMENTO DE SALUD VALENCIA ARNAU DE VILANOVA LLIRIA
18/001.0,2018-02-01,2018.0,2.0,es30,Comunidad de Madrid,Servicios,Organismo de Derecho público,Otros,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,22612.32,22612.32,,10.000 – 25.000 €,36.0,36 – 60 meses,False,0,Adjudicado,Adjudicado,Otros,False,,SERVICIO DE PROTECCION CARDIOVASCULAR PARA LAS SEDES DEL CONSEJO GENERAL DEL PODER JUDICIAL
20/2018,2018-02-01,2018.0,2.0,es52,Comunitat Valenciana,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,135000.0,135000.0,,100.000 – 250.000 €,24.0,24 – 36 meses,False,0,Adjudicado,Adjudicado,ge_healthcare,False,No licita,SERVICIO DE MANTENIMIENTO INTEGRAL INCLUIDOS LOS MANTENIMIENTOS PREVENTIVO CORRECTIVO CONDUCTIVO PREDICTIVO Y TECNICO LEGAL DEL EQUIPO DEL EQUIPO DE ALTA TECNOLOGIA DE TOMOGRAFIA AXIAL COMPUTERIZADA CT LIGHTSPEDD VCT64 MARCA GE MEDICAL DEL SERVICIO DE RADIOLOGIA DEL HOSPITAL UNIVERSITARIO DR PESET LOTE UNICO
2018/S00021,2018-02-01,2018.0,2.0,es41,Castilla y León,Servicios,Organismo de Derecho público,Universidad,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,100000.0,100000.0,200000.0,100.000 – 250.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,phillips,False,No licita,MANTENIMIENTO DEL SISTEMA DE RESONANCIA MAGNETICA DE IMAGEN PHILIPS 51520591 ACHIEVA 3T 54408149 DEL LABORATORIO DE TECNICAS INSTRUMENTALES DE LA UNIVERSIDAD DE VALLADOLID
CSE/01/1117069690/17/PNSP,2018-02-01,2018.0,2.0,es43,Extremadura,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,22567.0,22567.0,22567.0,10.000 – 25.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,SERVICIO DE MANTENIMIENTO DE LOS EQUIPOS DEL SISTEMA DE PLANIFICACION DE TRATAMIENTOS DE RADIOTERAPIA PCTR 3D 5 PUESTOS DE TRABAJO INSTALADOS EN EL AREA DE SALUD DE BADAJOZ
CSE/01/1117071779/17/PNSP,2018-02-01,2018.0,2.0,es43,Extremadura,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,480752.0,480752.0,,250.000 – 500.000 €,48.0,36 – 60 meses,False,0,Adjudicado,Adjudicado,getinge,False,No licita,SERVICIO DE MANTENIMIENTO DE RESPIRADORES DE SISTEMAS EXCMO MARCA GETINGE PARA EL AREA DE SALUD DE BADAJOZ
CSE/01/1117071868/17/PNSP,2018-02-01,2018.0,2.0,es43,Extremadura,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,28549.54,28549.54,28549.54,25.000 – 50.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,MANTENIMIENTO DE LOS EQUIPOS CROMATOGRAFIA WATERS Y DETECTOR DE MASAS PROTECCION TOTAL 1PM DEL LABORATORIO DE SALUD PUBLICA
CSE/04/1118010338/18/PNSP,2018-02-01,2018.0,2.0,es43,Extremadura,Servicios,Autoridad regional,Gerencia Sanitaria,Negociado sin publicidad,Negociado sin publicidad,Ordinaria,42200.0,42200.0,42200.0,25.000 – 50.000 €,12.0,12 – 24 meses,False,0,Adjudicado,Adjudicado,Otros,False,No licita,CONTRATACION DEL MANTENIMIENTO INTEGRAL DE LOS EQUIPOS DE RX UBICADOS EN EL CENTRO DE SALUD DE FUENTE DE CANTOS MODELO TOSRAD IC Y DE TAC UBICADO EN EL HOSPITAL DE ZAFRA MODELO ALEXION ADVANCE PARA EL ANO 2018 MEDIANTE PROCEDIMIENTO NEGOCIADO SIN PUBLICIDAD POR EXCLUSIVIDAD
